date,sales,expenses,marketing_spend,employee_count,seasonality,competition_level,customer_satisfaction,market_growth,profit,month,expense_ratio,marketing_ratio,profit_margin,sales_per_employee,marketing_efficiency,year,quarter,day_of_year,day_of_week,is_quarter_end,sales_lag_7,profit_lag_7,sales_growth
2021-01-11,20259.376516886092,11351.845977947169,1173.8799070779928,3.0,0.1712931441814776,2,3.2840384825398687,0.805005005005005,5333.65063186093,1,0.5603255346227195,0.057942548532999995,26.326825148914914,6753.125505628697,17.258474563480245,2021,1,11,0,0,18444.91976227986,1744.779367227893,11.19155311711637
2021-01-12,18642.649887866282,10804.227543436662,1771.9721925330532,7.0,0.1882267098432442,4,2.2652392454514025,0.8055055055055056,466.45015189656715,1,0.5795435524682937,0.09504937351670996,2.5020592818200162,2663.235698266612,10.520847881487585,2021,1,12,1,0,19122.47560710473,2737.888189252125,-7.980140097955513
2021-01-13,22089.94279396475,12869.394501485202,1246.4965102623273,6.0,0.2051044998686192,5,4.77534236496321,0.806006006006006,3174.0517822172214,1,0.5825906667807796,0.0564282362289723,14.368764155805838,3681.6571323274584,17.721624258150456,2021,1,13,2,0,18730.88297885569,1070.4283524746043,18.491431887814215
2021-01-14,16283.540798334088,9300.17292844602,1274.684732393661,5.0,0.2219215130041655,5,3.5828305231593403,0.8065065065065066,1708.6831374944077,1,0.5711394741245398,0.07828056245138462,10.49331443729497,3256.7081596668177,12.77456329751131,2021,1,14,3,0,20999.5492588739,3241.1437103409407,-26.2852740262281
2021-01-15,20136.225932951493,12496.47298073677,1364.937337615017,3.0,0.2386727660059501,2,4.644921694209393,0.807007007007007,3874.8156145997064,1,0.6205965816209474,0.06778516203383449,19.24300823551472,6712.075310983831,14.752491105661989,2021,1,15,4,0,20025.42771864144,5009.462646970855,23.6599962031081
2021-01-16,18823.306247359964,11197.070679029575,2539.201641630183,4.0,0.255353295116187,4,3.291970999855644,0.8075075075075075,1887.0339267002055,1,0.59485143214944,0.1348966864939742,10.024986587916079,4705.826561839991,7.413080528443297,2021,1,16,5,0,19722.697992682944,457.7891241311372,-6.520187496719676
2021-01-17,17252.70679513733,10219.366656427092,2010.7221080697143,5.0,0.2719581575341055,4,2.795990414647389,0.8080080080080081,1022.6180306405222,1,0.5923341060492269,0.11654531268313421,5.927290382798059,3450.5413590274657,8.580353657970102,2021,1,17,6,0,18220.24780564689,2610.315681643013,-8.343908512049614
2021-01-18,18629.254651874802,10175.621608921505,1974.8152843426724,3.0,0.288482432880609,3,3.715344736204128,0.8085085085085085,4078.817758610625,1,0.5462173231872943,0.10600613504115323,21.894691091144338,6209.751550624934,9.433416279272747,2021,1,18,0,0,20259.376516886092,5333.65063186093,7.978735586728081
2021-01-19,17960.07570351267,11093.754437212214,1538.491685990979,4.0,0.30492122465628907,3,3.3273702989374243,0.8090090090090091,2127.829580309477,1,0.617689736967115,0.08566175952644106,11.847553515007242,4490.0189258781675,11.673820448333563,2021,1,19,1,0,18642.649887866282,466.45015189656715,-3.5920865373687327
2021-01-20,18736.481209878002,10622.259528500064,1025.5822780311505,7.0,0.3212696616923644,4,2.5577908336069135,0.8095095095095095,1488.6394033467877,1,0.5669292654001614,0.054737187124039945,7.9451386131242545,2676.6401728397145,18.269115614836032,2021,1,20,2,0,22089.94279396475,3174.0517822172214,4.3229523036669715
2021-01-21,21249.62122625311,12779.739050885031,2971.0865852731445,8.0,0.3375228995941133,3,4.675827407029996,0.81001001001001,-901.2044099050636,1,0.6014102046720786,0.1398183315193627,-4.241037523961412,2656.202653281639,7.15213798600876,2021,1,21,3,0,16283.540798334088,1708.6831374944077,13.413084283137255
2021-01-22,18314.151614526312,11127.179437694882,1759.9800548770581,5.0,0.3536761221763716,3,3.0021838216848034,0.8105105105105106,1426.9921219543721,1,0.6075727487627158,0.0960994586001509,7.791745705667953,3662.8303229052626,10.405885887045255,2021,1,22,4,0,20136.225932951493,3874.8156145997064,-13.814220877029737
2021-01-23,19434.97261233919,12341.312865322838,1079.8961484010367,7.0,0.3697245428906731,3,2.027786892163545,0.811011011011011,413.76359861531364,1,0.6350054158289571,0.05556458297838891,2.128964145555918,2776.4246589055983,17.997075590199902,2021,1,23,5,0,18823.306247359964,1887.0339267002055,6.119972256448225
2021-01-24,21552.919530000174,12277.341518440548,1386.2315411252694,3.0,0.38566340624360707,3,4.562532843165866,0.8115115115115116,5489.346470434357,1,0.5696370508576036,0.06431757605718942,25.46915494577691,7184.306510000058,15.547849612846534,2021,1,24,6,0,17252.70679513733,1022.6180306405222,10.897606906409063
2021-01-25,21696.608879485175,11508.209249780692,1840.4467838090295,7.0,0.401487989205973,2,3.0965615873499015,0.812012012012012,2747.9528458954537,1,0.5304151129655135,0.08482647191696532,12.665356421176627,3099.515554212168,11.788772742769227,2021,1,25,0,0,18629.254651874802,4078.817758610625,0.6666816033205958
2021-01-26,20345.154734466243,12299.017613056592,2417.9315685411375,4.0,0.4171936026123168,5,3.0137408859075006,0.8125125125125126,2818.6730561641216,1,0.6045182636149293,0.11884557282058794,13.85427190381145,5086.288683616561,8.414280618678353,2021,1,26,1,0,17960.07570351267,2127.829580309477,-6.2288726893942155
2021-01-27,18798.901497330116,12179.596489153497,2141.411554291131,6.0,0.4327755925504312,4,2.087689930376021,0.8130130130130131,-322.10654611451173,1,0.6478887338647572,0.11391152587268258,-1.7134328096791103,3133.1502495550194,8.77874290892817,2021,1,27,2,0,18736.481209878002,1488.6394033467877,-7.600105564774373
2021-01-28,20203.671808353538,12741.676261481842,919.235056087727,5.0,0.4482293417404106,3,4.892753189277593,0.8135135135135135,2542.7604907839695,1,0.6306614155261415,0.04549841557551208,12.585635496873513,4040.7343616707076,21.978787334700392,2021,1,28,3,0,21249.62122625311,-901.2044099050636,7.472619138000858
2021-01-29,20222.809212261527,12238.51523499423,1666.7666876224425,8.0,0.4635502709028509,1,2.46841553023225,0.8140140140140141,-82.47271035514495,1,0.6051837361731995,0.08242013610116274,-0.40782024638367237,2527.851151532691,12.132957397359753,2021,1,29,4,0,18314.151614526312,1426.9921219543721,0.09472240536037013
2021-01-30,18075.06407912154,10599.2203546569,2327.8330733169323,4.0,0.47873384011578846,3,3.54675958456452,0.8145145145145145,1948.0106511477088,1,0.5864001537289172,0.12878698870040556,10.777337455737436,4518.766019780385,7.764759546682769,2021,1,30,5,0,19434.97261233919,413.76359861531364,-10.620409412940324
2021-01-31,19034.316974981815,11824.151483307744,2400.1232281722096,7.0,0.49377555015997715,2,4.2300962580323525,0.815015015015015,-789.9577364981378,1,0.6212017746078876,0.1260945287044902,-4.150176428901739,2719.1881392831165,7.930558211162022,2021,1,31,6,0,21552.919530000174,5489.346470434357,5.307051148816155
2021-02-01,18939.393702781512,10876.863121816672,1320.190576713538,5.0,0.5086709438521044,1,3.8373735464024774,0.8155155155155156,2742.340004251302,2,0.5742983800067082,0.06970606332132215,14.479555403341932,3787.8787405563025,14.34595431663279,2021,1,32,0,0,21696.608879485175,2747.9528458954537,-0.4986954474125227
2021-02-02,20606.73217466267,12602.21818947571,1856.4714683760142,6.0,0.5234156073655503,3,3.4522765504062467,0.816016016016016,1348.042516810945,2,0.6115583044734751,0.0900905321930989,6.541757836152458,3434.455362443778,11.099945528755594,2021,1,33,1,0,20345.154734466243,2818.6730561641216,8.80354724151642
2021-02-03,20201.103143466753,12373.396965663365,1703.5145392480142,6.0,0.5380051715382996,3,2.1386673133700667,0.8165165165165166,1324.1916385553732,2,0.6125109543666208,0.08432779770242144,6.555046173226588,3366.8505239111255,11.858485899617955,2021,1,34,2,0,18798.901497330116,-322.10654611451173,-1.968429675107164
2021-02-04,20067.038652212825,12570.328145077134,2861.2455026288767,4.0,0.5524353131676196,3,2.852220131386173,0.817017017017017,1435.4650045068138,2,0.6264167006869737,0.14258434202564127,7.153347483827778,5016.759663053206,7.013392815742473,2021,1,35,3,0,20203.671808353538,2542.7604907839695,-0.6636493576702818
2021-02-05,21574.900984322074,14324.770610048783,1389.4681082240375,6.0,0.5667017562911176,1,3.6502402704340176,0.8175175175175176,1060.662266049253,2,0.6639553349727179,0.06440206187892719,4.916186020135198,3595.8168307203455,15.527453171917886,2021,1,36,4,0,20222.809212261527,-82.47271035514495,7.5141248205199185
2021-02-06,18575.3477063662,11341.416607409103,2462.204845469152,6.0,0.5808002734538009,3,2.8702607440104027,0.8180180180180181,-28.273746512055368,2,0.6105628161954749,0.13255228835502755,-0.1522111292827391,3095.8912843943667,7.544192653404849,2021,1,37,5,0,18075.06407912154,1948.0106511477088,-13.902975870598766
2021-02-07,16538.40015998226,9668.558283135604,2309.4410860579746,7.0,0.5947266869607634,2,3.662687567999014,0.8185185185185185,-1039.5992092113202,2,0.5846126704885568,0.1396411420523067,-6.285972035716152,2362.6285942831796,7.161213273559596,2021,1,38,6,0,19034.316974981815,-789.9577364981378,-10.965864965670779
2021-02-08,19632.092031599124,11766.468062863476,1672.3399429116387,6.0,0.6084768701151261,5,4.045394727052114,0.8190190190190191,1393.2840258240094,2,0.5993486605464452,0.08518399059152225,7.096971752075268,3272.015338599854,11.739295060679193,2021,1,39,0,0,18939.393702781512,2742.340004251302,18.70611329808447
2021-02-09,22140.823234482676,12399.955988245045,2615.283933980335,8.0,0.6220467484408675,3,4.270002308640081,0.8195195195195195,2015.248146204107,2,0.560049455113893,0.11812044684531992,9.101956710740135,2767.6029043103345,8.465934786968013,2021,1,40,1,0,20606.73217466267,1348.042516810945,12.77872576618726
2021-02-10,23583.522264414223,13802.756793104005,2655.366778979195,8.0,0.6354323008901774,4,2.5190565137498533,0.8200200200200201,725.398692331024,2,0.5852712176896212,0.11259415575026065,3.075870873731175,2947.940283051778,8.88145564338214,2021,1,41,2,0,20201.103143466753,1324.1916385553732,6.516013495309658
2021-02-11,19969.231488328085,11776.897673940299,1956.9756320137394,4.0,0.6486295610349814,3,5.0,0.8205205205205206,3035.358182374047,2,0.5897521735287528,0.09799954661037315,15.200175250350512,4992.307872082021,10.204128841287424,2021,1,42,3,0,20067.038652212825,1435.4650045068138,-15.325491822482483
2021-02-12,22098.995067551776,12997.352841563768,1400.4698583216186,8.0,0.6616346182422783,1,4.1139834756433045,0.821021021021021,1301.1723676663887,2,0.5881422572308702,0.06337255852769276,5.887925508327372,2762.374383443972,15.779700602793502,2021,1,43,4,0,21574.900984322074,1060.662266049253,10.66522555196241
2021-02-13,20327.287798378948,12272.550115044229,2192.17796831782,4.0,0.6744436188329455,5,3.498628677064749,0.8215215215215216,2662.5597150168987,2,0.6037475455049608,0.1078440955852773,13.098450424995859,5081.821949594737,9.272644872887398,2021,1,44,5,0,18575.3477063662,-28.273746512055368,-8.017139529454198
2021-02-14,19236.016376082443,11130.399859458366,3140.734589896366,7.0,0.6870527672236669,2,4.371629266461312,0.822022022022022,-635.1180732722887,2,0.5786229145291024,0.1632736492053247,-3.3017131034572094,2748.0023394403493,6.124687020025201,2021,1,45,6,0,16538.40015998226,-1039.5992092113202,-5.368504805562557
2021-02-15,21478.620151299812,13447.687424442121,1854.5425226030677,8.0,0.699458327051647,3,5.0,0.8225225225225226,-223.6097957453767,2,0.6260964312285355,0.0863436528761759,-1.0410808244208583,2684.8275189124765,11.581627215078386,2021,1,46,0,0,19632.092031599124,1393.2840258240094,11.65835862983442
2021-02-16,21389.587812342266,12833.85621986446,2307.2699095689327,3.0,0.7116566222817746,3,2.3490239191545044,0.8230230230230231,3848.4616829088736,2,0.6000048403204404,0.10786883458490897,17.992219937441835,7129.862604114089,9.270518253470607,2021,1,47,1,0,22140.823234482676,2015.248146204107,-0.41451610173458553
2021-02-17,19310.700319045154,11581.770030857786,978.4503039252779,7.0,0.7236440382959124,1,3.3197898860069173,0.8235235235235235,1150.4799842620905,2,0.5997591925464909,0.0506688151004178,5.957733097475657,2758.671474149308,19.736005233557442,2021,1,48,2,0,23583.522264414223,725.398692331024,-9.719156402338658
2021-02-18,23368.62889780824,13857.229980428485,2515.7580749549893,6.0,0.7354170229639855,4,1.5972546721013372,0.8240240240240241,2195.6408424247675,2,0.5929842970688007,0.10765535650193597,9.395676793988962,3894.7714829680403,9.288901476834708,2021,1,49,3,0,19969.231488328085,3035.358182374047,21.01388614456907
2021-02-19,21587.307856707343,13029.980055953894,1444.4823277462447,5.0,0.7469720876965552,3,3.65412122611842,0.8245245245245245,3112.8454730072035,2,0.6035944890601715,0.06691350016104175,14.419794694501558,4317.461571341469,14.944667333098472,2021,1,50,4,0,22098.995067551776,1301.1723676663887,-7.622702422511274
2021-02-20,20296.54124938793,12590.473881966574,1968.1769302583155,9.0,0.7583058084785624,2,3.792315393540113,0.8250250250250251,-1462.1095628369594,2,0.620326080550609,0.09697105068666162,-7.203737547554076,2255.1712499319924,10.312356037383331,2021,1,51,5,0,20327.287798378948,2662.5597150168987,-5.97928475327858
2021-02-21,21308.59867118959,12351.594094858305,2972.111588889735,5.0,0.7694148268839378,1,3.4686703076457923,0.8255255255255256,1984.8929874415498,2,0.5796530445504305,0.13947944840259227,9.314986020761824,4261.719734237918,7.169515017822616,2021,1,52,6,0,19236.016376082443,-635.1180732722887,4.986354124903825
2021-02-22,21269.1239611204,12432.416132134613,2286.702517491977,5.0,0.7802958510707755,2,2.976373143201352,0.826026026026026,2550.005311493811,2,0.5845288294365513,0.10751277399445461,11.989235269657451,4253.82479222408,9.301220337330138,2021,1,53,0,0,21478.620151299812,-223.6097957453767,-0.18525249209635497
2021-02-23,21995.93139282163,13045.695821304644,2615.283933980335,7.0,0.7909456567567772,4,1.8603883870493396,0.8265265265265266,2294.440241397606,2,0.5930958588806158,0.11889853115444035,10.431202936677627,3142.2759132602328,8.410532832412155,2021,1,54,1,0,21389.587812342266,3848.4616829088736,3.4171949584280936
2021-02-24,21160.181908509418,12023.173683369043,2615.283933980335,8.0,0.8013610881746766,4,3.798826946729415,0.827027027027027,634.8521207193662,2,0.5681980304022816,0.12359458653465626,3.000220524872071,2645.022738563677,8.090969257133258,2021,1,55,2,0,19310.700319045154,1150.4799842620905,-3.7995639711122076
2021-02-25,20942.976991178733,12156.157264846492,1788.878959331333,6.0,0.8115390590073611,2,4.66434758713226,0.8275275275275276,2197.9407670009086,2,0.580440749658786,0.08541665113249257,10.494882212431834,3490.4961651964554,11.707319202304795,2021,1,56,3,0,23368.62889780824,2195.6408424247675,-1.0264794427090274
2021-02-26,20539.509319626748,12085.595155003719,2337.7786691861215,9.0,0.8214765533024142,1,3.0271852354132545,0.8280280280280281,-1083.8645045630929,2,0.5884071993606584,0.11381862306477945,-5.276973698331705,2282.16770218075,8.785908431090874,2021,1,57,4,0,21587.307856707343,3112.8454730072035,-1.9265058244676836
2021-02-27,22804.034306104295,14119.615174018942,3289.7152837560216,8.0,0.8311706263658079,4,3.852047943218516,0.8285285285285285,-1005.2961516706682,2,0.6191718090092214,0.14426023218511885,-4.408413608646281,2850.504288263037,6.931917305642288,2021,1,58,5,0,20296.54124938793,-1462.1095628369594,11.025214630193991
2021-02-28,22415.079006730746,13580.32806853941,3274.103945024359,3.0,0.8406184056344782,3,2.2454845492639595,0.8290290290290291,3160.646993166978,2,0.6058568013283174,0.1460670267564624,14.100539160347846,7471.693002243582,6.846172077338852,2021,1,59,6,0,21308.59867118959,1984.8929874415498,-1.7056424935715464
2021-03-01,21600.79270497814,13057.270578670656,2262.7612852138295,6.0,0.8498170915275278,3,3.865770450954011,0.8295295295295295,1480.7608410936537,3,0.6044810834956749,0.10475362252295266,6.855122686087331,3600.1321174963564,9.546209247139775,2021,1,60,0,0,21269.1239611204,2550.005311493811,-3.632761238575577
2021-03-02,22191.341391364535,13740.253815902706,1893.3381294202286,6.0,0.8587639582758029,3,3.1852941618042743,0.8300300300300301,1757.7494460416,3,0.6191718460628768,0.08531877798775138,7.920879657710124,3698.5568985607556,11.720749213538467,2021,1,61,1,0,21995.93139282163,2294.440241397606,2.733921363220615
2021-03-03,17035.882806767477,10152.843789860788,856.8366499545207,8.0,0.8674563547295969,2,2.8900656395176685,0.8305305305305306,-373.7976330478323,3,0.5959681634947376,0.05029599344356511,-2.194178237122774,2129.4853508459346,19.882299394723265,2021,1,62,2,0,21160.181908509418,634.8521207193662,-23.231847474543542
2021-03-04,22334.62455565493,13596.0071583574,1195.7988204003236,3.0,0.8758917051442429,4,2.8917090870270954,0.831031031031031,5142.818576897205,3,0.6087412449883789,0.05354013529175524,23.026214584811942,7444.874851884976,18.677577009298147,2021,1,63,3,0,20942.976991178733,2197.9407670009086,31.103417468817863
2021-03-05,17968.549445281285,10729.518790702523,1684.223583931403,12.0,0.8840675099433636,5,3.185110734373592,0.8315315315315316,-4045.192929352641,3,0.5971277104685931,0.09373174997015112,-22.512629311961227,1497.379120440107,10.668743518801794,2021,1,64,4,0,20539.509319626748,-1083.8645045630929,-19.54845983416449
2021-03-06,21679.2001820862,13140.201283951532,2368.5038986669897,8.0,0.8919813464595485,2,3.805946652554028,0.832032032032032,-229.5050005323228,3,0.6061202061692963,0.10925236534436888,-1.0586414563484021,2709.900022760775,9.15311990589815,2021,1,65,5,0,22804.034306104295,-1005.2961516706682,20.650808503517617
2021-03-07,21015.290700785084,12317.795091665259,2138.87901333022,7.0,0.8996308696522433,3,2.450269439043586,0.8325325325325326,958.6165957896055,3,0.5861348894500467,0.10177727464175959,4.561519559440564,3002.1843858264406,9.825376082429468,2021,1,66,6,0,22415.079006730746,3160.646993166978,-3.0624260845642737
2021-03-08,19646.336052487204,10568.393052354108,2165.7079299683865,9.0,0.9070138128026359,3,3.182307734745718,0.8330330330330331,-287.7649298352899,3,0.5379320105346646,0.11023469842837236,-1.4647256825216484,2182.926228054134,9.071553823406829,2021,1,67,0,0,21600.79270497814,1480.7608410936537,-6.51408856431731
2021-03-09,24225.38940287634,14468.094060632651,1335.7194023861284,12.0,0.9141279881853337,3,3.466822577600682,0.8335335335335335,-1178.4240601424408,3,0.5972285448140132,0.055137169527914184,-4.864417411604222,2018.782450239695,18.136585692773583,2021,1,68,1,0,22191.341391364535,1757.7494460416,23.30741639639944
2021-03-10,21303.62383417313,13493.548368553847,1488.4900083407279,9.0,0.9209712877166346,2,2.6207686203745126,0.8340340340340341,-878.4145427214462,3,0.6333921624596495,0.06987027277270273,-4.1233104262401685,2367.0693149081253,14.312238385745719,2021,1,69,2,0,17035.882806767477,-373.7976330478323,-12.06075791027863
2021-03-11,21753.25203661653,13515.058923090714,1660.4955257093388,9.0,0.9275416835791966,4,4.937332161340014,0.8345345345345345,-622.3024121835224,3,0.6212891249704302,0.076333208612408,-2.8607327820963104,2417.0280040685034,13.10045808604264,2021,1,70,3,0,22334.62455565493,5142.818576897205,2.1105714499246364
2021-03-12,22001.228283537712,13683.435712418213,1227.87152739752,7.0,0.9338372288229252,3,2.817203615950927,0.8350350350350351,1489.921043721979,3,0.6219396270096775,0.055809226265620245,6.771990293091061,3143.032611933959,17.918184266532695,2021,1,71,4,0,17968.549445281285,-4045.192929352641,1.1399502313666598
2021-03-13,23760.55366282814,14874.397558599992,3095.126290208791,7.0,0.9398560579418954,3,2.9644504690932076,0.8355355355355356,191.02981401935722,3,0.6260122457445102,0.13026322257174155,0.8039787991902355,3394.364808975449,7.6767638651750465,2021,1,72,5,0,21679.2001820862,-229.5050005323228,7.996487089799587
2021-03-14,21932.370176592856,13203.750901436431,1052.963702161387,6.0,0.9455963874271426,3,2.7173536401420018,0.836036036036036,2875.655572995038,3,0.6020211584577405,0.04800957186493021,13.111467433027634,3655.3950294321426,20.82917970635924,2021,1,73,6,0,21015.290700785084,958.6165957896055,-7.69419564955408
2021-03-15,21203.419160276833,12820.709349868897,1712.180428554238,6.0,0.9510565162951535,2,4.938784069710494,0.8365365365365366,1870.5293818536975,3,0.6046529219158968,0.08075020427657685,8.821829006512342,3533.903193379472,12.383869600811266,2021,1,74,0,0,19646.336052487204,-287.7649298352899,-3.323630827159707
2021-03-16,21304.34566271167,12473.781449909824,1421.4506699095837,6.0,0.9562348265919056,1,3.9423241828795854,0.837037037037037,2609.1135428922607,3,0.5855040866963727,0.06672116066899461,12.246860730667315,3550.7242771186116,14.987748863677982,2021,1,75,1,0,24225.38940287634,-1178.4240601424408,0.47599163923484067
2021-03-17,21851.327531426163,12952.760090842172,2949.336758107896,5.0,0.9611297838723007,4,2.750726395005086,0.8375375375375376,1949.2306824760944,3,0.5927676509454064,0.1349728868356495,8.920422247448116,4370.265506285233,7.408895397026335,2021,1,76,2,0,21303.62383417313,-878.4145427214462,2.5674661750905603
2021-03-18,19697.04968463054,12126.115385663894,1970.500586180974,7.0,0.9657399376548549,2,4.384985247087975,0.8380380380380381,0.4337127856715597,3,0.6156310503255628,0.10004039273549384,0.002201917508539274,2813.864240661506,9.995962357364927,2021,1,77,3,0,21753.25203661653,-622.3024121835224,-9.858796193033958
2021-03-19,21107.892222812035,13266.677552271629,1325.251878145316,4.0,0.9700639218515071,4,3.6605589554311027,0.8385385385385385,3315.96279239509,3,0.6285174006116,0.06278466197174676,15.709587472743552,5276.973055703009,15.92745693924421,2021,1,78,4,0,22001.228283537712,1489.921043721979,7.1627099528634774
2021-03-20,24339.942765790223,14534.242521633634,2535.759680884483,8.0,0.9741004551724205,3,3.7058027368892015,0.8390390390390391,869.9405632721064,3,0.5971354436404634,0.10418100425644762,3.5741273989140487,3042.492845723778,9.598678829572822,2021,1,79,5,0,23760.55366282814,191.02981401935722,15.312047782228099
2021-03-21,21725.929613113603,12810.463135442456,3171.6037775896248,7.0,0.9778483415056568,3,3.2244182329980378,0.8395395395395395,143.86270008152223,3,0.5896393555334986,0.1459824198120972,0.6621705153398262,3103.7042304448005,6.850139909224414,2021,1,80,6,0,21932.370176592856,2875.655572995038,-10.73960270913461
2021-03-22,21366.32482005415,12820.058871460787,3157.4284703060616,8.0,0.9813064702716093,3,2.9004672104344214,0.8400400400400401,-1011.1625217127003,3,0.6000123549291009,0.14777592762900155,-4.732505614459425,2670.7906025067687,6.767002014770276,2021,1,81,0,0,21203.419160276833,1870.5293818536975,-1.6551871402657903
2021-03-23,21850.360086123168,13410.819426138458,1873.035926010441,6.0,0.9844738167520922,3,3.7702128792436813,0.8405405405405406,1766.5047339742687,3,0.6137573647884854,0.08572105533400237,8.084556625207055,3641.726681020528,11.665745318972256,2021,1,82,1,0,21304.34566271167,2609.1135428922607,2.2654119046936483
2021-03-24,22811.06013529825,12964.708673112178,2744.9609987036397,14.0,0.9873494423939864,2,3.0639302160035276,0.841041041041041,-4098.60953651757,3,0.5683518694973038,0.12033465268262729,-17.967641627384545,1629.3614382355893,8.310158193894633,2021,1,83,2,0,21851.327531426163,1949.2306824760944,4.396724106094729
2021-03-25,24833.466449147567,13751.98939291992,3609.202741493399,10.0,0.989932495087353,3,4.953404503660083,0.8415415415415416,-527.7256852657529,3,0.5537684165470975,0.14533624409158105,-2.1250584824571184,2483.346644914757,6.880596139321365,2021,1,84,3,0,19697.04968463054,0.4337127856715597,8.865902337961963
2021-03-26,22079.95210146375,12972.70283613246,2798.2392821884023,5.0,0.9922222094179323,4,2.4845671158055165,0.842042042042042,2309.009983142889,3,0.5875331058925829,0.12673212647064114,10.45749543537197,4415.99042029275,7.890659044781836,2021,1,85,4,0,21107.892222812035,3315.96279239509,-11.087917803671477
2021-03-27,22417.501747792023,12840.144835718133,2102.237854682431,8.0,0.994217906893952,4,4.728925418283956,0.8425425425425426,1075.1190573914591,3,0.5727732278188761,0.09377663391459255,4.795891484640349,2802.187718474003,10.663637179713168,2021,1,86,5,0,24339.942765790223,869.9405632721064,1.5287607725647856
2021-03-28,24470.709068856166,14428.355342490044,2542.93983122793,6.0,0.995918996147179,2,3.4109449209617595,0.8430430430430431,2699.413895138192,3,0.5896173789607506,0.10391770112065635,11.031204235000006,4078.4515114760275,9.62299963544155,2021,1,87,6,0,21725.929613113603,143.86270008152223,9.158947969152575
2021-03-29,22832.378764811205,13625.537099477986,2419.8145284498714,6.0,0.9973249731081555,3,3.739268587216885,0.8435435435435436,1987.0271368833473,3,0.5967637993320865,0.10598170928117398,8.702672451920398,3805.3964608018673,9.43559041255843,2021,1,88,0,0,21366.32482005415,-1011.1625217127003,-6.695066740546807
2021-03-30,21416.16811495524,12623.076664461636,2654.718170060356,5.0,0.9984354211555643,2,4.166526213303547,0.8440440440440441,1825.9303424695245,3,0.5894180787480253,0.12395859781314125,8.525943262438481,4283.233622991048,8.067209678407533,2021,1,89,1,0,21850.360086123168,1766.5047339742687,-6.202641715275858
